"// Phenotype data set from Mouse Phenome Database (phenome.jax.org)",,,,,,,,
"// Data set: Richfield1    Title: Behavioral, neurochemical, neuroanatomical, and neurotoxicological survey of the midbrain dopamine system in males of 15 inbred strains of mice    Year: 2003",,,,,,,,
"// Table of individual animal values",,,,,,,,,,,
"// For more info on these data visit phenome.jax.org and type Richfield1 into search box",,,,,,,,,,
,,,,,,,,,,,
strain,sex,id,age,horiz1,horiz2,horiz3,amb1,amb2,amb3,vert1,vert2,vert3,horiz_aver,horiz_total,horiz_rate,horiz_short_habit,horiz_long_habit,amb_aver,amb_total,amb_rate,amb_short_habit,amb_long_habit,vert_aver,vert_total,vert_rate,vert_short_habit,vert_long_habit,age_sac,DA,DOPAC,HVA,5HT,DA_turnover1,DA_turnover2
C57BL/6J,m,121,9,15755,13325,14277,11150,9413,10283,839,604,742,14452,43357,321,0.380,-739,10282,30846,228,0.870,-434,728,2185,16.2,0.460,-48.5,77,89.8,10.6,5.70,3.50,11.9,18.2
C57BL/6J,m,126,9,9059,7722,8982,6031,5020,5783,462,359,463,8588,25763,191,-8.20,-38.5,5611,16834,125,-6.61,-124,428,1284,9.50,-0.480,0.500,77,110,10.9,7.90,8.30,9.90,17.1
C57BL/6J,m,132,9,12319,10627,10350,8498,7058,6883,967,830,775,11099,33296,247,-0.120,-984,7480,22439,166,-0.300,-808,857,2572,19.1,-0.250,-96,77,156,11.6,10.5,4.40,7.40,14.1
C57BL/6J,m,133,9,12965,9667,9440,8954,6494,6448,738,512,610,10691,32072,238,-1.43,-1762,7299,21896,162,-1.37,-1253,620,1860,13.8,-0.300,-64,77,112,9.80,6.70,6.60,8.70,14.7
C57BL/6J,m,143,9,13068,11770,12233,11425,10021,10983,636,643,803,12357,37071,275,-3.81,-418,10810,32429,240,-4.52,-221,694,2082,15.4,0.150,83.5,77,108,8.40,6.40,6.60,7.80,13.7
C57BL/6J,m,149,9,12596,11406,8432,8533,7717,5551,390,323,260,10811,32434,240,-13.6,-2082,7267,21801,162,-11.4,-1491,324,973,7.20,-0.430,-65,77,114,7.10,5.90,10.1,6.20,11.4
C57BL/6J,m,153,9,11885,12147,10428,8339,8342,6968,472,527,338,11487,34460,255,-8.59,-728,7883,23649,175,-6.99,-686,446,1337,9.90,-0.130,-67,77,112,8.20,6.70,9.60,7.30,13.3
C57BL/6J,m,159,9,13979,8287,6437,9540,5315,4120,583,179,211,9568,28703,213,-23.1,-3771,6325,18975,141,-16.2,-2710,324,973,7.20,-0.900,-186,77,148,9.90,7.20,4.40,6.60,11.5
CAST/EiJ,m,112,7,8370,6002,3729,5930,4438,2825,185,253,133,6034,18101,134,-17.9,-2320,4398,13193,97.7,-13.4,-1552,190,571,4.20,-0.800,-26,68,113,11.4,9.40,4.80,10.1,18.5
CAST/EiJ,m,119,7,12002,9694,7753,8093,6525,4740,330,626,189,9816,29449,218,-10.6,-2124,6453,19358,143,-6.83,-1676,382,1145,8.50,-0.350,-70.5,68,73.7,6.10,6.20,8.60,8.30,16.7
CAST/EiJ,m,123,7,6987,10618,10891,4613,7115,7436,518,729,1023,9499,28496,211,-10.4,1952,6388,19164,142,-8.60,1412,757,2270,16.8,-0.750,252,68,112,13.2,11.1,7.20,11.8,21.8
CAST/EiJ,m,125,7,12389,8623,6991,8720,6012,4739,221,216,183,9334,28003,207,-7.81,-2699,6490,19471,144,-6.54,-1990,207,620,4.60,-0.110,-19,68,46.2,10.5,6.40,4.40,22.8,36.7
CAST/EiJ,m,130,7,8528,6479,6639,7597,5425,5737,362,329,545,7215,21646,160,-9.14,-944,6253,18759,139,-9.02,-930,412,1236,9.20,-0.630,91.5,68,48.3,13.1,4.90,4.80,27.1,37.3
CAST/EiJ,m,135,7,7664,7703,6349,5221,5147,4088,217,343,297,7239,21716,161,-1.14,-658,4819,14456,107,-0.480,-566,286,857,6.30,0.140,40,68,135,8.70,11.5,5.80,6.40,15
CAST/EiJ,m,140,7,8397,4319,4719,6041,2695,3328,125,94,97,5812,17435,129,-16,-1839,4021,12064,89.4,-11.2,-1356,105,316,2.30,-0.450,-14,68,130,11.3,9.10,6,8.70,15.7
CAST/EiJ,m,145,7,8533,7490,6704,5542,4513,4172,143,191,133,7576,22727,168,-9.96,-914,4742,14227,105,-6.48,-685,156,467,3.50,-0.430,-5,68,85.1,7,6.90,9,8.20,16.4
CAST/EiJ,m,152,7,9894,8245,6512,6668,5310,4385,264,279,167,8217,24651,183,-8.05,-1691,5454,16363,121,-5.92,-1142,237,710,5.30,-0.180,-48.5,68,148,7.20,7.70,5.50,4.90,10.1
CAST/EiJ,m,155,7,10077,8196,7845,6751,5227,4997,291,174,208,8706,26118,194,-10.4,-1116,5658,16975,126,-6.78,-877,224,673,5,-0.160,-41.5,68,164,8.50,8.20,6.30,5.20,10.2
DBA/2J,m,5,9,5328,3028,2912,4342,2401,1827,191,147,73,3756,11268,83.5,-8.51,-1208,2857,8570,63.5,-9.40,-1258,137,411,3,-0.400,-59,93,117,18.6,14.9,6.50,15.9,28.7
DBA/2J,m,14,9,2888,1478,2419,1713,899,1114,,,,2262,6785,50.3,-8.87,-234,1242,3726,27.6,-6.19,-300,,,,,,93,286,29.3,35.5,14.2,10.3,22.7
DBA/2J,m,28,9,4323,3374,2958,2519,1976,1183,,,,3552,10655,78.9,-7.37,-682,1893,5678,42.1,-4.70,-668,,,,,,93,284,27,35.3,13.7,9.50,21.9
DBA/2J,m,39,9,2945,3802,5664,1743,2265,3571,,,,4137,12411,91.9,-3.23,1360,2526,7579,56.1,-2.36,914,,,,,,94,343,39.2,32.9,14.2,11.4,21
DBA/2J,m,44,9,3745,2613,2586,2210,1459,1616,,,,2981,8944,66.3,-11.4,-580,1762,5285,39.1,-8.33,-297,,,,,,94,178,16,22.5,8.20,9,21.6
DBA/2J,m,51,9,6152,5792,5564,4153,3799,3384,519,444,467,5836,17508,130,-4.86,-294,3779,11336,84,-3.80,-384,477,1430,10.6,-0.240,-26,94,162,12.9,17.8,8.10,7.90,18.9
DBA/2J,m,68,9,4707,3573,3613,2760,2039,1697,,,,3964,11893,88.1,-1.04,-547,2165,6496,48.1,-1.68,-532,,,,,,94,180,13.1,20.4,8.50,7.30,18.6
DBA/2J,m,83,9,4037,5673,4356,2632,3960,2754,287,564,247,4689,14066,104,-2.66,160,3115,9346,69.2,-2.36,61,366,1098,8.10,-0.410,-20,95,89.5,8.80,14.2,7.40,9.80,25.7
DBA/2J,m,96,9,2472,4148,4369,989,2131,2161,59,136,161,3663,10989,81.4,1.18,948,1760,5281,39.1,0.430,586,119,356,2.60,0.130,51,95,155,16,21.6,10.8,10.3,24.3
DBA/2J,m,106,9,2929,6390,3875,1520,3839,2380,116,483,199,4398,13194,97.7,-2.76,473,2580,7739,57.3,-1.57,430,266,798,5.90,-0.140,41.5,95,160,9.90,14.6,7.80,6.20,15.3
MRL/MpJ,m,6,9,6417,9932,7022,3831,6792,4187,345,424,239,7790,23371,173,-9.08,302,4937,14810,110,-8.38,178,336,1008,7.50,-0.550,-53,93,69.1,10.9,8.80,5.50,15.7,28.4
MRL/MpJ,m,12,9,7200,2868,4486,4693,1310,2765,414,136,269,4851,14554,108,-11.1,-1357,2923,8768,64.9,-8.23,-964,273,819,6.10,-0.990,-72.5,93,339,29.3,38.2,16.2,8.70,19.9
