"// Phenotype data set from Mouse Phenome Database (phenome.jax.org)",,,,,,,,
"// Data set: Willott1    Title: Startle and prepulse inhibition survey of 40 inbred strains of mice    Year: 2002",,,,,,,,
"// Table of individual animal values",,,,,,,,,,,
"// For more info on these data visit phenome.jax.org and type Willott1 into search box",,,,,,,,,,
,,,,,,,,,,,
strain,sex,id,round,bw,PPI_4,PPI_12,PPI_20,PPI_tot,ASR_70,ASR_80,ASR_90,ASR_100,ASR_latency,ASR_habituation
LP/J,m,P444,all,20.1,0.9745,0.4075,0.547,1.93,80.5,78.5,90,181.5,21.35,0.671
LP/J,m,P445,all,16.4,0.919,0.4355,0.592,1.945,66.85,56.65,78.35,183.5,18.5,0.741
LP/J,m,P446,all,19.7,0.348,0.151,0.1505,0.649,70.7,70.5,246.5,983,20.55,0.667
MA/MyJ,f,P655,all,15,0.8725,0.286,0.1675,1.325,218.15,501.5,733.5,1161,23.25,0.826
MA/MyJ,f,P656,all,16.5,0.804,0.1975,0.229,1.23,138,591.5,831.5,926,26.7,0.629
MA/MyJ,f,P691,all,16.9,0.4645,0.6085,0.5255,1.6,161,416,468.5,351.5,29.45,1.224
MA/MyJ,f,P692,all,15.2,0.9,0.6335,0.5555,2.09,230.5,168.5,365,318.5,28.4,1.704
MA/MyJ,f,P790,all,22.2,0.714,0.342,0.2615,1.32,809.5,1048.5,656.5,724.5,23.4,1.323
MA/MyJ,f,P791,all,22.1,1.092,0.5595,0.6135,2.265,83.5,209.5,166,246.5,32.65,0.575
MA/MyJ,f,P792,all,24,0.9395,0.2965,1.188,2.42,253,762,1033,800.5,26.65,0.645
MA/MyJ,f,P793,all,23.5,0.598,0.9605,0.523,2.085,161.5,109.5,152.5,166,35.1,0.806
MA/MyJ,f,P794,all,22.5,0.9195,0.244,0.2355,1.395,829,536.5,790.5,988,22.05,0.671
MA/MyJ,f,P795,all,23,0.459,0.4445,0.5745,1.48,293,343,282.5,378.5,26.4,0.556
MA/MyJ,m,P659,all,20.6,0.96,0.212,0.607,1.78,139,337.5,794.5,1069,25.7,0.465
MA/MyJ,m,P660,all,19.9,0.476,0.49,0.4105,1.375,98.85,350.5,325.5,428.5,24.75,0.571
MA/MyJ,m,P661,all,17.2,0.8345,0.33,0.291,1.455,280,686.5,970,1067.5,24.35,0.667
MA/MyJ,m,P662,all,20.6,0.8115,0.2815,0.454,1.545,83.85,159.5,391.5,476.5,27.7,0.719
MA/MyJ,m,P663,all,20.6,0.8225,0.718,0.68,2.225,161.5,233.5,611.5,402.5,33.25,2.037
MA/MyJ,m,P664,all,19.7,1.103,0.3555,0.3335,1.795,94.5,591.5,542.5,636.5,29.95,0.559
MA/MyJ,m,P786,all,25.5,0.8175,0.432,0.531,1.78,275.5,379,436.5,485,27,0.361
MA/MyJ,m,P787,all,25.5,0.585,0.265,0.303,1.155,322,593.5,733.5,671,23,0.741
MA/MyJ,m,P788,all,27,0.326,0.424,0.424,1.175,390,388,245.5,512,26.3,0.719
MA/MyJ,m,P789,all,26.2,0.947,0.3675,0.42,1.735,259.5,674.5,1079.5,1187,22.65,0.637
MOLF/EiJ,f,P115,all,10,0.798,0.717,0.769,2.28,56.65,54.35,57.65,72.6,36.5,0.917
MOLF/EiJ,f,P118,all,10,0.8135,0.95,0.759,2.525,39.5,57.35,63.8,59.5,32.8,0.758
MOLF/EiJ,f,P166,all,9.50,0.79,0.7245,0.6595,2.175,73.15,63.7,82.2,96.6,26.5,0.386
MOLF/EiJ,f,P168,all,7.40,1.0175,1.11,0.995,3.125,45.65,45.15,47.3,47.9,47.15,0.813
MOLF/EiJ,f,P169,all,9,1.095,0.986,0.9725,3.055,47.35,57.7,71.35,55.5,40.6,0.935
MOLF/EiJ,f,P170,all,7.90,0.786,0.792,0.88,2.455,43.65,47,65.5,60.95,33.5,0.847
MOLF/EiJ,f,P172,all,8.80,0.668,0.6985,0.6735,2.04,45.85,52.85,78.7,74.85,33.45,1.172
MOLF/EiJ,f,P173,all,8.20,0.9595,0.787,0.7805,2.525,59.2,73.85,73.3,85.35,17.85,1.126
MOLF/EiJ,f,P174,all,9.10,1.045,1.0725,0.8995,3.015,47.5,45.35,54.8,58,46.8,1.825
MOLF/EiJ,f,P175,all,8.40,0.739,0.7705,0.7,2.21,43.35,63.15,83.85,75.3,18.8,1.328
MOLF/EiJ,m,P116,all,11,0.798,0.8595,0.926,2.585,63.65,51.65,82,71.35,33.6,0.450
MOLF/EiJ,m,P117,all,10.1,0.934,0.79,1.08,2.8,71.2,53.5,64.15,70.95,33.6,1.063
MOLF/EiJ,m,P119,all,11.5,0.9275,0.833,0.9745,2.735,40.85,47.5,46.15,60.35,43.85,1.145
MOLF/EiJ,m,P167,all,11.5,0.548,0.656,0.5825,1.785,81.65,59.5,60,117.45,28.5,1.497
MOLF/EiJ,m,P171,all,9.30,0.991,0.771,0.671,2.43,51,53,59.15,60.7,44.15,0.439
MOLF/EiJ,m,P176,all,11,1.0435,0.943,0.907,2.895,66.65,67.5,77,84.2,35.3,0.813
MOLF/EiJ,m,P177,all,10,1.072,0.893,0.9145,2.88,46.7,46.65,60,57.35,38.55,0.833
MOLF/EiJ,m,P339,all,11.2,0.762,0.689,0.8945,2.345,43.85,48,93.65,73.25,21.4,1.247
MOLF/EiJ,m,P340,all,11.3,0.9325,0.922,1,2.855,66,46,51.8,53.85,28,0.287
MOLF/EiJ,m,P341,all,11.2,0.8685,0.797,0.7785,2.445,59.2,55.65,86.35,73,23.85,1.075
MSM/Ms,f,P530,all,7.80,0.6045,0.616,0.554,1.775,38,57.5,113.5,75.8,25.9,0.565
MSM/Ms,f,P531,all,8,0.9425,0.765,0.719,2.425,60.5,40.5,102.85,58.9,35.25,1.157
MSM/Ms,f,P688,all,9.10,0.439,0.4705,0.401,1.31,66.15,79.5,175.5,118.4,32.85,2.740
MSM/Ms,f,P689,all,9.70,0.773,1.1,0.8365,2.71,48.85,52.2,76.65,67.9,36.1,0.625
MSM/Ms,f,P810,all,12.5,0.885,0.9075,0.8685,2.66,64.65,81.15,89,107,33.25,1.623
MSM/Ms,f,P817,all,13.5,0.9415,0.949,0.942,2.83,129.5,75.2,93.85,99.2,24.2,1.389
MSM/Ms,f,P818,all,13,0.8775,1.036,1.0685,2.98,53.8,52.3,76.65,60.75,30.3,0.107
MSM/Ms,f,P819,all,11.5,0.932,1.052,1.0295,3.02,58,148.85,199.5,81.6,27.35,1.178
MSM/Ms,f,P820,all,11,0.5745,0.574,0.7175,1.865,48.85,122.35,181,97.4,22.6,0.840
MSM/Ms,f,P821,all,10.5,0.618,0.5665,0.4885,1.675,48,91.35,120.15,102.05,23.9,0.680
MSM/Ms,m,P696,all,12.9,0.4665,0.492,0.504,1.465,48,84,84.5,115.5,29.2,2.817
MSM/Ms,m,P697,all,12.6,0.3235,0.55,0.4235,1.3,39.3,167.35,318.5,172,29,0.658
MSM/Ms,m,P698,all,11.3,0.3425,0.4455,0.4445,1.231,40.35,50.7,125.5,148.85,27.9,1.821
MSM/Ms,m,P699,all,11.9,0.42,0.555,0.405,1.38,43.65,58.35,214,114.5,33.4,1.174
MSM/Ms,m,P811,all,15,1.05,1.48,1.215,3.745,41.85,68.5,55.2,59.5,34,0.769
MSM/Ms,m,P812,all,15,0.832,0.9245,0.786,2.54,43.2,70.35,82.65,68.1,34.5,0.645
MSM/Ms,m,P813,all,15,0.8895,0.7055,0.957,2.55,54.5,90.65,60.5,91.5,31.75,0.337
MSM/Ms,m,P814,all,15,0.85,0.8965,0.81,2.56,50.3,71.85,98.35,79.4,35.5,0.685
MSM/Ms,m,P815,all,15,0.732,0.627,0.811,2.17,51,56.85,83.85,83.2,29.35,0.408
MSM/Ms,m,P816,all,15,0.637,0.8865,0.902,2.425,48.3,90.15,80.5,79.55,29.6,1.385
NOD/ShiLtJ,f,P178,all,19,0.584,0.7995,0.7735,2.155,76.35,97.35,82.65,122,42.7,0.549
NOD/ShiLtJ,f,P179,all,17.5,0.681,0.5645,0.4855,1.73,136,418.5,420,362,33.15,0.943
NOD/ShiLtJ,f,P180,all,18.3,1.073,0.9575,0.7485,2.78,57.5,59.35,65.35,94.4,40.35,0.641
NOD/ShiLtJ,f,P181,all,18.5,0.7615,1.0855,0.9515,2.8,134.5,323.5,117.5,115.5,28.55,1.736
NOD/ShiLtJ,f,P182,all,18.7,0.716,0.7255,0.7385,2.185,68.3,80.5,98.15,173,26.7,1.401
NOD/ShiLtJ,f,P183,all,19.5,0.8595,0.6565,0.8325,2.345,99.65,95,58.65,106.3,21.55,1.134
NOD/ShiLtJ,f,P184,all,18,1.3,1.1975,0.9695,3.45,99.35,119,84.85,96.3,28.75,2.075
NOD/ShiLtJ,f,P185,all,19.4,0.4975,1.01,1.264,2.775,101,141.85,125.5,173,42.2,0.714
NOD/ShiLtJ,f,P186,all,19.9,0.8855,1.0595,0.8135,2.76,79.2,134,94.65,111.15,43.4,1.623
NOD/ShiLtJ,f,P187,all,18,0.4775,0.5315,0.676,1.685,51.3,83.15,98.85,214.5,26.65,1.220
NOD/ShiLtJ,m,P188,all,23.2,0.678,0.725,0.844,2.25,78.85,74.2,90.35,146,42,0.442
NOD/ShiLtJ,m,P189,all,22.2,1.97,1.316,0.999,4.285,159,178.5,113.65,169,30.9,1.142
NOD/ShiLtJ,m,P190,all,21.5,1.042,0.703,0.942,2.69,138.65,92.5,80,144.35,35.25,0.298
NOD/ShiLtJ,m,P191,all,26.1,1.2185,0.6715,0.7185,2.61,71.65,52.35,92.15,119,40.7,0.437
NOD/ShiLtJ,m,P192,all,22.8,0.87,1.408,1.255,3.53,119.5,168.5,97.85,97.6,35.45,0.862
NOD/ShiLtJ,m,P193,all,21.9,0.308,0.5655,0.215,1.09,232.65,301.5,670.5,394.5,28.4,0.599
NOD/ShiLtJ,m,P194,all,17.9,0.476,0.5415,0.521,1.54,67.85,72.5,246,200,29.65,1.414
NOD/ShiLtJ,m,P195,all,23.7,0.9325,0.401,0.44,1.775,94.7,174,375,379.5,35.75,1.271
NOD/ShiLtJ,m,P196,all,24.8,1.1015,0.944,0.998,3.045,53.35,84.5,55.65,81.2,24.85,0.813
NOD/ShiLtJ,m,P197,all,23.1,0.302,0.261,0.3725,0.936,121,384.5,461.5,684.5,24.5,2.247
NON/ShiLtJ,f,P573,all,22.3,1.37,0.9115,0.864,3.145,92.65,220.85,190,186.5,22.75,3.322
NON/ShiLtJ,f,P574,all,21.7,0.9285,0.761,0.894,2.585,54.5,89.7,109.15,94.75,34,0.855
NON/ShiLtJ,f,P575,all,22.1,0.5355,0.8535,0.6355,2.02,65.85,75.85,104.5,101.35,30.8,0.952
NON/ShiLtJ,f,P576,all,22.1,0.6385,0.5335,0.7445,1.915,72.2,150.85,331,127.5,30.6,3.623
NON/ShiLtJ,f,P577,all,21.1,0.9315,0.4275,0.327,1.685,66,408.5,357,330,24.55,1.686
NON/ShiLtJ,f,P578,all,19.1,0.89,0.7695,0.6425,2.305,70.5,235,186.5,135.85,29.35,3.876
NON/ShiLtJ,f,P579,all,20.3,1.0615,0.8405,0.9245,2.825,57.65,77.65,92.65,124,31.6,1.321
NON/ShiLtJ,f,P580,all,21.8,0.5975,0.74,0.7095,2.045,62.5,117,106.5,147,31.2,0.699
NON/ShiLtJ,f,P581,all,20.9,0.7525,0.7405,0.6915,2.18,93.5,62.85,106.85,129.5,29.1,0.671
NON/ShiLtJ,f,P582,all,20.7,0.841,0.7455,0.7805,2.37,58.5,82.85,86.15,115.55,26.35,0.602
NON/ShiLtJ,f,P583,all,20.8,0.836,0.876,0.8335,2.545,52,115.5,93,87.35,28.95,0.893
NON/ShiLtJ,m,P584,all,18.7,0.8,1.066,0.5975,2.465,59,54.2,68.8,102.05,30.45,2.237
NON/ShiLtJ,m,P585,all,20.9,0.9755,1.18,0.8755,3.035,45.35,46.35,58.5,58.6,37.1,0.450
NON/ShiLtJ,m,P586,all,21,1.007,0.623,0.742,2.375,75,95.7,97.15,120.95,32.25,1.200
NON/ShiLtJ,m,P587,all,20.6,1.31,1.305,0.9515,3.565,69.3,77.8,44.85,83.55,26.8,0.498
NON/ShiLtJ,m,P588,all,19.7,0.4645,0.532,0.519,1.515,71.5,324.5,321.5,210,30.9,1.284
NON/ShiLtJ,m,P589,all,20.8,0.743,0.764,0.824,2.33,65.85,66.2,76.15,90,26.45,1.175
NON/ShiLtJ,m,P590,all,20.2,0.492,0.376,0.366,1.234,68.85,126.35,269,246.5,27.65,0.641
NON/ShiLtJ,m,P591,all,20.2,0.629,1.625,0.695,2.95,54.65,168.5,88.7,86.05,29.25,0.775
NON/ShiLtJ,m,P592,all,22.8,0.9335,0.673,0.78,2.385,73.15,69.5,116.85,118.5,31.7,0.360
NZB/BlNJ,f,P700,all,22.1,0.4975,0.8875,0.4685,1.85,132.65,178.35,148,300.5,25.85,1.287
NZB/BlNJ,f,P701,all,21.9,0.8645,0.769,0.408,2.04,191.5,255.5,375,298,28.4,0.962
NZB/BlNJ,f,P702,all,21.4,0.7315,0.3655,0.4335,1.53,125,127,385,525.5,30.75,0.980
NZB/BlNJ,f,P703,all,20.8,1.0335,1.0255,0.733,2.795,81.65,221.5,205.5,154.5,26.35,0.917
NZB/BlNJ,f,P704,all,23.3,1.089,0.9005,0.624,2.615,90.65,148.5,205.5,220.5,30.7,0.730
NZB/BlNJ,f,P705,all,21.4,0.9185,0.9355,0.8495,2.71,80.85,198,190,183.5,30.75,0.671
NZB/BlNJ,f,P706,all,21.8,0.6995,0.525,0.6255,1.85,93.85,117,217.5,199,34.2,1.193
NZB/BlNJ,f,P707,all,20.7,0.608,1.0705,0.68,2.36,60.5,160,188.35,177.5,34,0.546
NZB/BlNJ,f,P708,all,21.2,0.4775,0.49,0.377,1.345,123,166,356,405,30.35,0.417
NZB/BlNJ,f,P709,all,22.5,0.675,0.661,0.359,1.695,104.85,194.5,420,310,22.65,0.885
NZB/BlNJ,m,P309,all,20.2,0.7535,0.5285,0.428,1.71,95.85,119,194.5,199,24.3,0.565
NZB/BlNJ,m,P310,all,17.3,0.925,0.898,0.6575,2.48,63,88,84,130.75,24.7,0.441
NZB/BlNJ,m,P311,all,20.4,0.6555,0.5375,0.7045,1.9,68,172.5,279.5,221,24.2,1.401
NZB/BlNJ,m,P312,all,21.5,0.6295,0.592,0.517,1.74,61.5,67.15,96.65,195,23.05,1.548
NZB/BlNJ,m,P313,all,17.1,0.584,0.7015,0.704,1.99,63,73.35,62.15,168.5,21.75,2.222
NZB/BlNJ,m,P314,A,20.2,0.567,0.380,0.309,1.26,93.3,109,73,318,25.8,0.364
NZB/BlNJ,m,P315,all,19.2,0.6115,0.4895,0.343,1.445,72.65,232.5,152,251,23.6,1.001
NZB/BlNJ,m,P316,all,18.7,0.6845,0.721,0.668,2.07,99.5,120.65,268.5,247.5,23.8,0.437
NZB/BlNJ,m,P317,all,17.4,0.846,0.766,0.8335,2.445,71.65,82.15,76.65,135.5,23.1,0.543
NZB/BlNJ,m,P318,all,20.7,1.215,1.2615,1.245,3.72,79.15,142,69.65,118.2,25.35,0.952
NZW/LacJ,f,P555,all,19.1,0.723,0.4475,0.428,1.6,94.85,306.5,1016,630,28.9,1.416
NZW/LacJ,f,P556,all,16.3,0.589,0.4235,0.28,1.295,91.2,440,564.5,625,25,0.671
NZW/LacJ,f,P557,all,18,0.813,0.3715,0.3715,1.555,137.5,489,969,620,24.4,0.667
NZW/LacJ,f,P558,all,18.2,0.437,0.15175,0.1945,0.7835,64.85,477,568,1146.5,25.05,1.416
NZW/LacJ,f,P559,all,19.5,0.592,0.2475,0.3845,1.225,148.5,759.5,791.5,1303,22.7,0.481
NZW/LacJ,f,P560,all,16.8,0.692,0.583,0.3715,1.645,139,416,945,891.5,26.6,0.606
NZW/LacJ,f,P561,all,14.5,0.67,0.4065,0.4035,1.48,99.35,104.85,532.5,1112.5,24.9,1.041
NZW/LacJ,f,P562,all,16.2,0.581,0.349,0.281,1.209,215,1329,1291,1131.5,26.5,0.578
NZW/LacJ,f,P563,all,20.6,0.9635,0.379,0.2065,1.55,60.5,373,1634.5,1030,29.1,2.096
NZW/LacJ,f,P564,all,12.7,1.105,0.634,0.33,2.07,146.35,465.5,190,395.5,24,1.239
NZW/LacJ,m,P565,all,21.3,0.4705,0.228,0.3595,1.057,90,150.85,188,618,25.3,1.385
NZW/LacJ,m,P566,all,19.2,0.6365,0.2475,0.2405,1.125,119,166,472.5,936.5,26.7,0.120
NZW/LacJ,m,P567,all,22.2,0.71,0.364,0.4185,1.495,62.65,367,371.5,645,28.6,2.618
NZW/LacJ,m,P568,all,22.1,0.7055,0.3025,0.1945,1.2,87.85,339,1223,912,25,0.943
NZW/LacJ,m,P569,all,21.9,0.6795,0.2915,0.3,1.27,205,859,751,649,25.15,0.709
NZW/LacJ,m,P570,all,24.2,0.841,0.595,0.892,2.325,87.35,143,373,309,27.85,0.943
NZW/LacJ,m,P571,all,21.6,0.516,0.337,0.412,1.265,82.7,242,337.5,630,27.65,1.761
NZW/LacJ,m,P572,all,26.4,0.8685,0.5905,0.573,2.035,93.15,129.5,318.5,416.5,27.9,0.893
NZW/LacJ,m,P657,all,22.6,1.055,0.353,0.4735,1.885,100.35,146,677.5,495,27.2,1.548
NZW/LacJ,m,P658,all,23.5,0.4745,0.239,0.369,1.08,58.85,151,569.5,1099.5,24.05,2.950
PERA/EiJ,f,P101,all,17.3,0.6295,0.67,0.7325,2.03,55.65,126.65,248.5,232.5,37,1.642
PERA/EiJ,f,P102,all,17.6,0.71,0.5955,0.7625,2.07,56.35,93.35,196,225.5,29.55,0.324
PERA/EiJ,f,P106,all,14.9,0.8075,0.5435,0.5925,1.94,53,80.85,130,156.5,31.45,0.389
PERA/EiJ,f,P107,all,15.2,0.6175,0.577,0.6775,1.87,41.65,88.65,172.5,204.5,30.05,0.459
PERA/EiJ,f,P108,all,16,0.747,0.7955,0.739,2.28,45.5,62,231.65,193.5,33.45,0.658
PERA/EiJ,f,P111,all,16.5,1.0375,0.818,0.831,2.69,69.65,161.5,242,236.5,29.9,0.446
PERA/EiJ,f,P112,all,16.2,0.9685,0.6075,0.4685,2.045,40.3,61.2,165.5,218,28.2,0.549
PERA/EiJ,f,P160,all,15.1,0.949,0.7165,0.7805,2.45,83.2,112.65,258.5,190.5,30.3,0.885
PERA/EiJ,f,P161,all,15.4,1.0675,0.5465,0.839,2.45,49.8,91.65,176.5,196.5,34.65,0.529
PERA/EiJ,f,P162,all,15.7,0.938,0.603,0.843,2.38,75.3,82.7,145.35,152.5,34.5,1.610
PERA/EiJ,m,P103,all,19.6,0.811,0.5945,0.5505,1.955,90.35,101,122.5,241,31.15,0.826
PERA/EiJ,m,P104,all,20.4,0.966,0.541,0.685,2.195,66.5,88.15,136,201,34.8,0.990
PERA/EiJ,m,P105,all,20.3,0.71,0.445,0.453,1.61,58.85,61,193,226,28.1,0.704
PERA/EiJ,m,P109,all,20,0.7815,0.585,0.6035,1.975,44.15,96.15,189.5,202,39.3,0.658
PERA/EiJ,m,P110,all,18.9,0.863,0.5505,0.6685,2.08,60.15,65.15,276.85,232.5,32.8,1.151
PERA/EiJ,m,P113,all,20.5,0.817,1.0225,0.8875,2.725,95,89.85,120.5,254.5,32.55,1.546
PERA/EiJ,m,P114,all,20.1,0.8525,0.488,0.6335,1.975,67.35,119.15,217.5,314.5,35.9,0.990
PERA/EiJ,m,P163,all,12.5,1.055,0.6975,0.6705,2.425,51,49.85,82.35,134,35.3,0.418
PERA/EiJ,m,P164,all,12,0.971,0.83,0.944,2.745,55.7,57,70.5,61.9,30.15,1.410
PERA/EiJ,m,P165,all,12.3,0.728,0.4855,0.665,1.875,42,51.65,104.65,124,34.2,0.478
PL/J,f,P150,all,14.8,1.76,0.6415,0.6775,3.08,68.85,78.35,244.5,260,25.05,0.820
PL/J,f,P151,all,14.5,0.533,0.2755,0.2885,1.097,85.5,257,663,554,19.85,0.826
PL/J,f,P152,all,15.3,0.4825,0.243,0.39,1.115,75.85,78.35,314.5,612.5,22.3,1.311
PL/J,f,P153,all,16.2,0.327,0.36,0.318,1.005,88.5,103.15,415,495,22.1,0.699
PL/J,f,P154,all,14.6,0.7665,0.5345,0.4485,1.75,67.85,248,330,450.5,22.85,0.781
PL/J,f,P155,all,13.6,0.6585,0.2555,0.1475,1.06,92,225,649.5,656.5,20.7,0.725
PL/J,f,P156,all,15.5,0.869,0.2635,0.238,1.37,81.65,501,864,816.5,21.5,1.664
PL/J,f,P157,all,12.9,0.824,0.391,0.34,1.555,63,169.5,393.5,419.5,27.75,0.469
PL/J,f,P158,all,14,0.794,0.3545,0.7115,1.86,54.35,150,295.5,404,29,2.096
PL/J,f,P159,all,13.9,0.605,0.4665,0.356,1.43,64.15,149,349.5,341.5,29.85,0.885
PL/J,m,P140,all,19,0.374,0.4545,0.4595,1.2905,54.2,131,265.5,326.5,24.05,0.699
PL/J,m,P141,all,17,0.536,0.3405,0.363,1.24,60.65,320.5,625,979.5,20.4,1.304
PL/J,m,P142,all,20,0.5885,0.299,0.3515,1.2415,60.8,138.5,477,572,21.3,1.683
PL/J,m,P143,all,19,0.467,0.3725,0.4365,1.276,85,192.5,252,369,19.6,0.820
PL/J,m,P144,all,17.5,1.022,0.395,0.5085,1.925,63,207.65,515.5,357,19.95,0.901
PL/J,m,P145,all,21.7,0.643,0.425,0.707,1.775,72.65,154.5,248,241.5,22.35,0.820
PL/J,m,P146,all,19,0.6065,0.2365,0.2895,1.1345,80.65,125.5,171.5,480,19.95,0.775
PL/J,m,P147,all,20,0.644,0.369,0.3515,1.365,73.65,238.5,422.5,467.5,21.45,1.156
PL/J,m,P148,all,21.3,0.4465,0.234,0.303,0.983,128.5,213.5,183,484,21.2,1.235
PL/J,m,P149,all,18.6,0.6715,0.372,0.301,1.345,77.15,130,116.5,277,17.55,0.847
PWK/PhJ,f,P532,all,12.9,0.7605,0.589,0.507,1.855,49.85,52.7,90.85,308,29.85,1.063
PWK/PhJ,f,P533,all,11.5,1.2,0.6245,0.64,2.465,42.15,53.5,191,264.5,32,0.763
PWK/PhJ,f,P534,all,11.6,0.6485,0.4515,0.3635,1.465,41.7,79.35,141.5,328.5,25.7,1.629
PWK/PhJ,f,P686,all,15.8,0.8415,0.642,0.855,2.34,71.65,62,192,307,24.15,0.694
PWK/PhJ,f,P687,all,13.2,0.597,0.322,0.585,1.505,35.5,52.15,331,380,25.8,0.709
PWK/PhJ,f,P734,all,13.1,0.657,0.5105,0.629,1.795,48,48.15,122.5,230,25.7,1.377
PWK/PhJ,f,P735,all,13.1,1.275,0.7305,0.6255,2.63,84.5,106.15,112.35,154.5,35.3,0.926
PWK/PhJ,f,P743,all,11.4,0.9965,0.812,1.0445,2.85,40,42,83.15,104.95,27.85,0.592
PWK/PhJ,m,P736,all,16.5,1.074,0.5395,0.5525,2.165,48.3,41.65,204.5,203.5,29.3,0.347
PWK/PhJ,m,P737,all,16.5,0.9325,0.548,0.7085,2.19,43.5,49.15,196,294,25.75,1.761
PWK/PhJ,m,P738,all,15.8,0.394,0.3635,0.3475,1.1035,46.15,71.85,171.5,360.5,24.2,0.877
PWK/PhJ,m,P739,all,15.5,0.7995,0.42,0.5805,1.8,40.8,55.85,134,183.5,28.5,0.467
PWK/PhJ,m,P740,all,14.2,0.876,0.645,0.721,2.245,65.2,45,144,180.5,26.9,1.692
PWK/PhJ,m,P741,all,14.6,1.2835,0.7595,0.666,2.705,51.35,45.5,147.85,214,27.75,0.781
PWK/PhJ,m,P742,all,14.5,0.9675,0.5155,0.582,2.07,39.65,48.35,155,229.5,29,0.971
PWK/PhJ,m,P744,all,15.2,0.6635,0.458,0.7575,1.88,43.85,55,116.35,205,29.95,1.020
PWK/PhJ,m,P745,all,16.1,0.7565,0.5425,0.547,1.85,37.15,47.35,199,311,25.8,1.590
PWK/PhJ,m,P746,all,15.6,0.7805,0.394,0.5855,1.76,47.7,54.85,110.35,355,25,3.058
RIIIS/J,f,P608,all,14.1,0.7245,0.222,0.2135,1.16,52.35,98.85,1180.5,1531.5,22.95,1.181
RIIIS/J,f,P609,all,12.7,0.657,0.2745,0.2,1.13,48.7,64.5,635.5,892.5,24.9,0.714
RIIIS/J,f,P610,all,16.6,0.5745,0.2415,0.2595,1.075,51.2,98,774,1115,28.1,1.165
RIIIS/J,f,P611,all,14.7,0.4625,0.1715,0.098,0.732,42.5,111.65,932.5,1424,24.65,3.425
RIIIS/J,f,P612,all,15.6,0.815,0.534,0.6775,2.025,61,434,419.5,782.5,24.95,1.656
RIIIS/J,f,P613,all,14.7,0.982,1.056,0.953,2.99,73.15,74.15,165,407.5,30.1,0.794
RIIIS/J,f,P614,all,13.4,0.54,0.5015,0.2245,1.2645,77.65,125.5,521.5,694.5,26.8,1.420
RIIIS/J,f,P615,all,16.7,0.479,0.1795,0.133,0.792,57.7,82.15,485,974,25.05,0.935
RIIIS/J,f,P616,all,16.2,1.032,0.5275,0.5155,2.08,99.65,165.5,258,302.5,26.4,1.321
RIIIS/J,f,P617,all,14.7,1.0525,0.5845,0.5015,2.14,98.15,150.5,225.5,324.5,28.75,1.876
RIIIS/J,m,P511,all,13.6,0.564,0.2175,0.2705,1.055,43.8,135.85,288.5,410,23.7,1.082
RIIIS/J,m,P512,all,14.4,0.6755,0.4285,0.349,1.455,40.5,133.5,846.5,892.5,27,0.588
RIIIS/J,m,P513,all,8.70,1.0305,0.7555,0.7795,2.57,68.15,126.15,69.5,136.5,33.15,0.452
RIIIS/J,m,P514,all,14,0.563,0.432,0.5455,1.545,43,48.7,959,1207,23,1.064
RIIIS/J,m,P515,all,11.9,0.4655,0.2505,0.205,0.921,48.15,46,444.5,639.5,23.55,1.536
RIIIS/J,m,P516,all,13.3,0.6665,0.385,0.655,1.705,52.5,64,579.5,1156,23.6,0.585
RIIIS/J,m,P517,all,14.9,0.727,0.5215,0.3395,1.585,105.65,184.5,802.5,1146,25.45,1.253
RIIIS/J,m,P518,all,13,0.626,0.164,0.3015,1.092,54.35,115,713,905,26.25,1.715
RIIIS/J,m,P606,all,19.4,0.5575,0.2875,0.261,1.105,51.7,106.35,675,1230.5,26.05,1.174
RIIIS/J,m,P607,all,15.5,0.472,0.19,0.2245,0.8865,46,68.15,406.5,1364.5,21.7,1.873
SEA/GnJ,f,P636(se/se),all,18.7,0.8325,0.5565,0.7945,2.185,94.65,726.5,926.5,604,30.65,0.847
SEA/GnJ,f,P637(se/se),all,17.5,0.972,0.612,0.6185,2.2,199.65,171.5,421.5,1066,24.4,1.230
SEA/GnJ,f,P638(se/se),all,18.3,0.621,0.494,0.4765,1.59,166.5,124,983,1402.5,22.55,1.104
SEA/GnJ,f,P639(se/se),all,17.7,0.9935,0.561,0.815,2.37,133,630.5,854.5,907,26,1.408
SEA/GnJ,f,P750(se/se),all,21.4,0.725,0.328,0.508,1.56,78.15,152,366,772,25.3,0.654
SEA/GnJ,f,P751(se/se),all,21.7,0.8,0.253,0.663,1.715,186.15,267.5,719.5,1270.5,26.95,1.339
SEA/GnJ,f,P752(+/se),all,23.1,0.6245,0.5425,0.4675,1.63,134.65,479.5,633.5,844,23.85,0.562
SEA/GnJ,f,P753(+/se),all,23,0.3925,0.436,0.5045,1.33,101.65,443,636,593.5,26.85,0.273
SEA/GnJ,f,P754(+/se),all,22.6,0.374,0.2035,0.3245,0.902,247,535.5,1306,1127.5,22.2,0.694
SEA/GnJ,f,P755(+/se),all,22.8,1.0275,0.288,0.372,1.69,113.65,155,508.5,706.5,22.15,0.752
SEA/GnJ,f,P756(se/se),all,22.2,0.911,0.5245,0.7065,2.14,91.35,149.65,484,481,27.1,0.813
SEA/GnJ,f,P757(se/se),all,21,0.9965,0.7225,0.8545,2.575,92.85,114.85,208,614,23.65,2.079
