"// Phenotype data set from Mouse Phenome Database (phenome.jax.org)",,,,,,,,
"// Data set: Willott1    Title: Startle and prepulse inhibition survey of 40 inbred strains of mice    Year: 2002",,,,,,,,
"// Table of individual animal values",,,,,,,,,,,
"// For more info on these data visit phenome.jax.org and type Willott1 into search box",,,,,,,,,,
,,,,,,,,,,,
strain,sex,id,round,bw,PPI_4,PPI_12,PPI_20,PPI_tot,ASR_70,ASR_80,ASR_90,ASR_100,ASR_latency,ASR_habituation
BUB/BnJ,f,P361,all,20.7,0.731,0.3375,0.4995,1.57,68.3,687,893.5,1461.5,19.45,0.909
BUB/BnJ,m,P342,all,13.3,1.1485,0.4995,0.542,2.19,82.35,246.5,436.5,519,24,0.980
BUB/BnJ,m,P343,all,15.4,0.847,0.265,0.344,1.455,359.5,921.5,960,1182,24.05,1.001
BUB/BnJ,m,P344,all,13.9,1.1,0.4135,0.476,1.99,82.7,240,846,882,20.75,1.468
BUB/BnJ,m,P345,all,16.7,0.6455,0.29,0.37,1.3035,132.5,336.5,1022.5,907.5,27.35,0.833
BUB/BnJ,m,P346,all,25,1.165,0.442,0.456,2.06,55.85,796.5,1110,1142,23.4,0.990
BUB/BnJ,m,P347,all,23.9,1.0155,1.28,1.1535,3.45,52.15,91.15,59.35,69.75,29.4,1.453
BUB/BnJ,m,P348,all,23.8,0.868,0.3295,0.385,1.58,81.85,850.5,957.5,1357.5,19.7,0.800
BUB/BnJ,m,P349,all,22.4,0.8765,0.342,0.51,1.73,77.5,390.5,796,1433,24,0.617
BUB/BnJ,m,P350,all,24.5,0.6765,0.404,0.253,1.33,392.15,237.5,897,856.5,22.4,0.847
BUB/BnJ,m,P351,all,17.6,0.864,0.3545,0.371,1.59,68.5,457.5,325.5,1248,24,1.558
C3H/HeJ,f,F47,all,,1.095,0.7725,0.836,2.7,80,68.5,118.85,121.2,39.6,1.196
C3H/HeJ,f,F48,all,,0.6215,0.551,0.4285,1.6005,75.85,101.35,94,278,30.5,0.971
C3H/HeJ,f,F49,all,,0.8315,0.8105,0.657,2.3,18.65,71.85,80.7,99.25,35.8,1.504
C3H/HeJ,f,F50,all,,1.1265,0.6275,0.6095,2.365,49.35,108,243.5,183.5,32.75,2.212
C3H/HeJ,f,F51,all,,0.9025,0.96,0.6615,2.52,37.5,82,77,116.5,29.9,0.254
C3H/HeJ,f,F52,all,,0.768,0.683,0.543,1.995,66.5,60.65,89.5,142,33.95,0.855
C3H/HeJ,f,F53,all,,0.8675,1.012,0.943,2.82,72.5,93.15,144.5,188.5,28.8,0.901
C3H/HeJ,f,F54,all,,0.7515,0.705,0.599,2.06,56,47.85,54.7,110.6,28.6,0.457
C3H/HeJ,f,P81,all,17.3,0.932,1.375,1.014,3.32,92.85,58.15,132,150,36.1,0.476
C3H/HeJ,f,P82,all,18.4,0.745,0.8955,0.8355,2.475,55.8,185.35,356.5,198,29.15,0.140
C3H/HeJ,m,F55,all,,1.07,0.74,0.6565,2.465,50.5,90.35,117.5,136,36.8,0.448
C3H/HeJ,m,F56,all,,0.891,0.6435,0.617,2.15,77.85,64.35,87.35,134,38,1.227
C3H/HeJ,m,F57,all,,0.608,0.5535,0.5675,1.725,83.15,120.85,161,285.5,33.85,0.444
C3H/HeJ,m,F58,all,,0.39,0.53,0.511,1.435,101.35,162,209,286.5,35.5,0.556
C3H/HeJ,m,F59,all,,1.1365,1.06,0.963,3.16,61,185,516.5,223.5,25.65,0.654
C3H/HeJ,m,F60,all,,0.8785,0.622,0.8635,2.365,121,154.5,101.5,231.5,27.5,0.429
C3H/HeJ,m,F61,all,,0.7765,0.454,0.8355,2.065,89.15,171.5,153.15,229,28.5,0.228
